Angular Second Moment,Inverse Difference Moment,Contrast,Energy,Entropy,Homogeneity,Variance,Shade,Prominence,Inertia,Correlation,16 Area,16 Mean,16 StdDev,16 Mode,16 Min,16 Max,16 Median,16 Skew,16 Kurt,8 Area,8 Mean,8 StdDev,8 Mode,8 Min,8 Max,8 Median,8 Skew,8 Kurt,Class
0.00475,0.152,53.32275,0.00475,5.47875,0.247,42.908,283.87175,40400.24775,53.32275,0.00875,263.809,63.011,19.949,67,3,122,63,0.142,-0.065,263.809,87.483,3.427,87,77,98,87,0.166,-0.011,D
0.0165,0.12725,75.525,0.0165,4.13275,0.21925,146.06225,1088.95725,504344.063,75.525,0.00575,46.756,86.25,18.14,68,41,129,86,0.124,-0.206,46.756,157.239,11.607,146,128,184,157,0.103,-0.222,D
0.00575,0.157,67.155,0.00575,5.30225,0.24625,55.31725,373.6845,75338.93675,67.155,0.0075,188.316,31.277,13.83,29,0,75,31,0.236,-0.04,188.316,117.094,7.873,116,99,142,117,0.25,0.008,D
0.003,0.144,73.80775,0.003,5.94025,0.23375,101.59575,-1127.48525,299534.3348,73.80775,0.00625,472.29,41.66,15.706,42,-1,87,42,-0.048,-0.08,472.29,128.738,10.035,132,102,158,129,-0.05,-0.09,D
0.0055,0.1695,46.079,0.0055,5.32075,0.26375,64.0845,511.1645,197358.8475,46.079,0.01,337.6,53.475,13.548,61,10,96,53,0.07,0.455,337.6,136.274,8.656,137,109,163,136,0.069,0.432,D
0.00425,0.145,76.04625,0.00425,5.54125,0.233,92.58925,3278.972,335090.3103,76.04625,0.0065,322.695,75.692,15.375,71,28,129,75,0.464,1.065,322.695,150.443,9.818,147,120,184,150,0.451,1.052,D
0.0045,0.13575,73.7115,0.0045,5.5025,0.2275,74.4365,622.9945,140404.2168,73.7115,0.007,308.037,48.325,13.431,59,14,93,48,0.128,0.036,308.037,132.972,8.593,140,111,162,133,0.111,0.027,D
0.00325,0.1055,127.4785,0.00325,5.76175,0.191,191.31075,7665.45875,1060059.496,127.4785,0.00375,344.387,38.336,24.789,28,-17,113,35,0.443,-0.234,344.387,121.071,14.081,115,90,163,119,0.438,-0.244,D
0.00275,0.131,85.44175,0.00275,6.0995,0.22,141.77125,-6357.744,701035.2925,85.44175,0.005,718.948,38.927,18.709,39,-26,94,41,-0.541,0.374,718.948,127,11.948,135,86,162,128,-0.541,0.351,D
0.004,0.144,70.565,0.004,5.686,0.23475,85.99025,-784.44,204809.5443,70.565,0.00675,434.241,30.444,14.863,28,-8,79,31,-0.099,-0.412,434.241,121.584,9.49,117,97,153,122,-0.085,-0.408,D
0.00975,0.083,162.58525,0.00975,4.66425,0.166,114.30375,-1297.63175,238402.2295,162.58525,0.00217995,88.501,75.234,17.271,77,29,124,77,-0.195,0.192,88.501,150.124,11.015,151,121,181,151,-0.191,0.172,D
0.002,0.14025,77.945,0.002,6.30275,0.231,156.5835,4336.3315,1118706.161,77.945,0.00475,673.584,50.248,19.727,59,-25,134,50,0.273,1.14,673.584,134.233,12.615,130,86,188,134,0.27,1.143,D
0.003,0.126,106.626,0.003,5.75775,0.21125,102.237,284.5745,219130.1518,106.626,0.00475,261.37,48.604,18.009,45,-2,100,48,0.024,-0.367,261.37,126.935,10.264,125,98,156,127,0.03,-0.377,D
0.01,0.16675,57.003,0.01,4.6475,0.259,48.91025,250.20625,64074.494,57.003,0.00875,114.078,59.564,10.535,58,30,96,59,0.182,0.627,114.078,115.154,7.161,114,95,140,115,0.205,0.628,D
0.00475,0.1375,86.05025,0.00475,5.4315,0.2245,150.21025,1305.2325,539846.1558,86.05025,0.005,255.538,62.902,19.367,47,11,110,61,0.143,-0.584,255.538,142.283,12.359,132,109,172,141,0.142,-0.57,D
0.005,0.13075,92.048,0.005,5.42825,0.218,101.8675,-894.80175,229769.391,92.048,0.00575,325.203,49.645,15.769,46,-5,84,49,-0.253,-0.032,325.203,133.839,10.063,133,99,156,133,-0.25,-0.053,D
0.005,0.11375,112.14225,0.005,5.36125,0.199,133.41825,2871.41925,570644.912,112.14225,0.005,198.417,59.414,18.255,58,13,112,58,0.281,0.103,198.417,140.08,11.667,139,110,174,139,0.283,0.129,D
0.002,0.04275,1085.415,0.002,6.12925,0.09725,823.57475,-7501.22475,14827122.02,1085.415,0.000421525,399.443,66.312,17.793,66,7,129,66,0.011,0.412,399.443,103.251,28.993,103,7,205,103,0.011,0.405,D
0.003,0.17225,49.6725,0.003,5.9145,0.2655,61.44375,885.61675,108071.8558,49.6725,0.00975,327.595,53.863,12.184,61,22,100,54,0.283,0.024,327.595,136.536,7.79,139,116,166,137,0.28,0.021,D
0.005,0.1345,65.80175,0.005,5.3275,0.2275,91.656,-685.216,205607.361,65.80175,0.007,157.901,77.355,15.41,83,40,123,79,-0.14,-0.411,157.901,151.543,9.885,147,128,181,153,-0.135,-0.418,D
0.003,0.11875,96.23075,0.003,5.84725,0.20625,108.569,138.19025,346877.829,96.23075,0.00525,487.327,50.221,18.483,53,0,113,50,0.025,-0.006,487.327,127.838,10.492,129,99,163,128,0.022,-0.01,D
0.003,0.12,96.98925,0.003,6.0355,0.20725,85.4225,-393.05625,207399.6583,96.98925,0.00525,580.457,54.822,14.97,55,6,101,55,-0.134,0.09,580.457,137.152,9.553,137,106,167,137,-0.132,0.097,D
0.007,0.10325,126.10825,0.007,5.03025,0.18625,194.10625,8593.49875,1357779.383,126.10825,0.00375,183.105,64.312,23.106,47,18,130,63,0.347,-0.411,183.105,143.198,14.714,132,114,185,142,0.348,-0.416,D
